latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
56.612,156.503,367.9,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,293.8,123.7,D
56.549,156.794,314.5,1.1,1.1,2016-06-08,0105,T,73,6.0NRT,293.6,11.5,D
56.516,156.971,327.6,1.1,1.1,2016-06-08,0105,T,84,6.0NRT,291.4,27.9,D
56.512,156.989,331.3,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,291.2,34.3,D
56.507,156.966,353.5,1.1,1.1,2016-06-08,0105,T,97,6.0NRT,292.7,80.8,D
56.503,156.984,344.4,1.1,1.1,2016-06-08,0105,T,93,6.0NRT,290.6,58.1,D
56.497,156.96,365.5,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,294.4,119.7,D
56.492,156.937,323,1.1,1.1,2016-06-08,0105,T,35,6.0NRT,292.2,18.5,D
56.488,156.955,363,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,292.6,110.1,D
56.532,156.667,332.3,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,292.5,35.4,D
56.528,156.685,307.3,1.1,1.1,2016-06-08,0105,T,19,6.0NRT,288.8,6.7,D
56.482,156.931,341.4,1.1,1.1,2016-06-08,0105,T,91,6.0NRT,292.5,48.4,D
56.522,156.662,309.2,1.1,1.1,2016-06-08,0105,T,43,6.0NRT,289.7,8.4,D
56.473,156.926,326.7,1.1,1.1,2016-06-08,0105,T,49,6.0NRT,293.3,23.6,D
56.471,156.919,340.2,1.1,1.1,2016-06-08,0105,T,92,6.0NRT,294.7,48.3,D
56.467,156.936,334.6,1.1,1.1,2016-06-08,0105,T,89,6.0NRT,293.2,38.2,D
56.465,156.895,354.9,1.1,1.1,2016-06-08,0105,T,98,6.0NRT,297.1,84.6,D
56.462,156.913,376.3,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,295.8,165.2,D
56.498,156.66,338.1,1.1,1.1,2016-06-08,0105,T,91,6.0NRT,287.5,45.5,D
56.456,156.89,357.4,1.1,1.1,2016-06-08,0105,T,99,6.0NRT,292.3,91.8,D
56.452,156.907,335.3,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,289.7,38.6,D
56.489,156.655,391.5,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,298,243.9,D
56.486,156.673,329.7,1.1,1.1,2016-06-08,0105,T,84,6.0NRT,286.6,30.9,D
56.45,156.866,332.7,1.1,1.1,2016-06-08,0105,T,88,6.0NRT,291.1,35.8,D
56.483,156.632,343.5,1.1,1.1,2016-06-08,0105,T,93,6.0NRT,286.6,56.6,D
56.48,156.65,376.4,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,288.5,164.9,D
56.476,156.667,324.5,1.1,1.1,2016-06-08,0105,T,82,6.0NRT,283.9,25.4,D
56.441,156.861,319.2,1.1,1.1,2016-06-08,0105,T,78,6.0NRT,289.2,18,D
56.474,156.627,347.3,1.1,1.1,2016-06-08,0105,T,95,6.0NRT,285.8,64.7,D
56.462,156.581,317.2,1.1,1.1,2016-06-08,0105,T,76,6.0NRT,290,16.2,D
56.459,156.598,331,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,288.6,34.1,D
56.475,156.454,311.1,1.1,1.1,2016-06-08,0105,T,68,6.0NRT,286.7,10.7,D
56.472,156.472,302.6,1.1,1.1,2016-06-08,0105,T,37,6.0NRT,285.4,4.4,D
56.453,156.576,382,1.1,1.1,2016-06-08,0105,T,94,6.0NRT,297.1,189,D
56.45,156.593,372.4,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,292.6,145.1,D
56.435,156.539,362.1,1.1,1.1,2016-06-08,0105,T,94,6.0NRT,292,104.5,D
56.429,156.516,338.8,1.1,1.1,2016-06-08,0105,T,72,6.0NRT,285.8,44.2,D
56.426,156.534,337.3,1.1,1.1,2016-06-08,0105,T,71,6.0NRT,285.7,42.3,D
56.422,156.551,324.2,1.1,1.1,2016-06-08,0105,T,66,6.0NRT,285.2,24.4,D
56.432,156.442,387.4,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,297.2,212.3,D
56.429,156.459,405.6,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,298.2,332,D
56.426,156.476,402.4,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,295.5,309,D
56.464,156.212,327.2,1.1,1,2016-06-08,0105,T,84,6.0NRT,279.2,31.3,D
56.433,156.384,325.1,1.1,1.1,2016-06-08,0105,T,64,6.0NRT,287.2,21.5,D
56.43,156.402,380.6,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,294.9,175.8,D
56.426,156.419,408.7,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,301.3,356.8,D
56.423,156.436,372.6,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,290.5,140.7,D
56.455,156.207,319.9,1.1,1,2016-06-08,0105,T,78,6.0NRT,279,23.3,D
56.427,156.362,370.1,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,287.9,132.1,D
56.424,156.379,380.4,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,288.7,176.4,D
56.42,156.396,421.3,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,293.6,470.9,D
56.417,156.414,386,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,288.6,207.8,D
56.421,156.339,350.4,1.1,1.1,2016-06-08,0105,T,96,6.0NRT,289,70.5,D
56.418,156.357,324.2,1.1,1.1,2016-06-08,0105,T,82,6.0NRT,284.6,23.4,D
56.452,156.111,307.8,1.1,1,2016-06-08,0105,T,62,6.0NRT,279.1,11.9,D
56.449,156.128,311.1,1.1,1,2016-06-08,0105,T,68,6.0NRT,278.5,14.6,D
56.418,156.3,345.6,1.1,1.1,2016-06-08,0105,T,93,6.0NRT,286.9,58.6,D
56.415,156.317,410.7,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,296,372.4,D
56.412,156.334,329,1.1,1.1,2016-06-08,0105,T,65,6.0NRT,284.8,28.7,D
56.405,156.229,311.4,1.1,1,2016-06-08,0105,T,60,6.0NRT,280.5,13.2,D
56.402,156.247,351.9,1.1,1,2016-06-08,0105,T,97,6.0NRT,287.2,75.9,D
56.399,156.264,399.9,1.1,1,2016-06-08,0105,T,100,6.0NRT,299.7,292.5,D
56.396,156.281,324.4,1.1,1.1,2016-06-08,0105,T,77,6.0NRT,286,24.8,D
56.408,156.156,304,1.1,1,2016-06-08,0105,T,32,6.0NRT,279.9,8.3,D
56.39,156.259,381.7,1.1,1,2016-06-08,0105,T,100,6.0NRT,285,186.2,D
56.387,156.276,315.6,1.1,1.1,2016-06-08,0105,T,55,6.0NRT,282.3,15,D
27.246,140.877,310.2,1,1,2016-06-08,0115,T,32,6.0NRT,287.9,7.7,D
27.245,140.888,312.2,1,1,2016-06-08,0115,T,48,6.0NRT,294.3,9.2,D
